sci_name,body mass
Sciurus aberti,
Sciurotamias forresti,
Sciurotamias davidianus,
Sciurocheirus makandensis,
Sciurocheirus gabonensis,
Sciurocheirus alleni,
Sciurillus pusillus,
Scarturus williamsi,
Scarturus vinogradovi,
Scarturus toussi,
Scarturus euphratica,
Scarturus elater,
Scaptonyx fusicaudus,
Scaptochirus moschatus,
Scapteromys tumidus,
Scapanus townsendii,
Scapanus orarius,
Scapanus latimanus,
Scapanulus oweni,
Saxatilomys paulinae,
Sauromys petrophilus,
Sapajus xanthosternos,
Sapajus robustus,
Sapajus nigritus,
Sapajus flavius,
Sapajus cay,
Sapajus apella,
Santamartamys rufodorsalis,
Salpingotus pallidus,
Salpingotus kozlovi,
Salpingotus heptneri,
Salpingotus crassicauda,
Salpingotulus michaelis,
Salinomys delicatus,
Salanoia concolor,
Saimiri vanzolinii,
Saimiri ustus,
Saimiri collinsi,
Saimiri cassiquiarensis,
Saiga tatarica,
Saguinus ursulus,
Saguinus niger,
Saguinus mystax,
Saguinus midas,
Saguinus melanoleucus,
Saguinus martinsi,
Saguinus leucopus,
Saguinus labiatus,
Saguinus inustus,
Saguinus imperator,
Saguinus bicolor,
Saccostomus mearnsi,
Saccostomus campestris,
Saccopteryx leptura,
Saccopteryx gymnura,
Saccopteryx canescens,
Saccopteryx antioquensis,
Saccolaimus saccolaimus,
Saccolaimus peli,
Saccolaimus mixtus,
Saccolaimus flaviventris,
Rusa unicolor,
Rusa timorensis,
Rusa marianna,
Rusa alfredi,
Rupicapra rupicapra,
Rupicapra pyrenaica,
Rungwecebus kipunji,
Rousettus spinalatus,
Rousettus obliviosus,
Rousettus madagascariensis,
Rousettus linduensis,
Rousettus leschenaultii,
Rousettus amplexicaudatus,
Romerolagus diazi,
Rhyneptesicus nasutus,
Rhynchomys tapulao,
Rhynchomys soricoides,
Rhynchomys isarogensis,
Rhynchomys banahao,
Rhynchogale melleri,
Rhynchocyon udzungwensis,
Rhynchocyon cirnei,
Rhynchocyon chrysopygus,
Rhombomys opimus,
Rhogeessa velilla,
Rhogeessa tumida,
Rhogeessa parvula,
Rhogeessa mira,
Rhogeessa minutilla,
Rhogeessa menchuae,
Rhogeessa io,
Rhogeessa hussoni,
Rhogeessa genowaysi,
Rhogeessa bickhami,
Rhogeessa aeneus,
Rhizomys sumatrensis,
Rhizomys sinensis,
Rhizomys pruinosus,
Rhipidomys wetzeli,
Rhipidomys venustus,
Rhipidomys venezuelae,
Rhipidomys tribei,
Rhipidomys ochrogaster,
Rhipidomys nitela,
Rhipidomys modicus,
Rhipidomys mastacalis,
Rhipidomys macrurus,
Rhipidomys macconnelli,
Rhipidomys leucodactylus,
Rhipidomys latimanus,
Rhipidomys itoan,
Rhipidomys ipukensis,
Rhipidomys gardneri,
Rhipidomys fulviventer,
Rhipidomys emiliae,
Rhipidomys couesi,
Rhipidomys caucensis,
Rhipidomys cariri,
Rhipidomys austrinus,
Rhipidomys albujai,
Rhinosciurus laticaudatus,
Rhinopoma muscatellum,
Rhinopoma microphyllum,
Rhinopoma macinnesi,
Rhinopoma hardwickii,
Rhinopoma hadramauticum,
Rhinopoma cystops,
Rhinopithecus strykeri,
Rhinopithecus roxellana,
Rhinopithecus brelichi,
Rhinopithecus bieti,
Rhinopithecus avunculus,
Rhinophylla pumilio,
Rhinophylla fischerae,
Rhinophylla alethina,
Rhinolophus ziama,
Rhinolophus yunanensis,
Rhinolophus xinanzhongguoensis,
Rhinolophus willardi,
Rhinolophus virgo,
Rhinolophus trifoliatus,
Rhinolophus thomasi,
Rhinolophus thailandensis,
Rhinolophus tatar,
Rhinolophus swinnyi,
Rhinolophus subrufus,
Rhinolophus subbadius,
Rhinolophus stheno,
Rhinolophus smithersi,
Rhinolophus sinicus,
Rhinolophus simulator,
Rhinolophus silvestris,
Rhinolophus siamensis,
Rhinolophus shortridgei,
Rhinolophus shameli,
Rhinolophus sedulus,
Rhinolophus schnitzleri,
Rhinolophus sakejiensis,
Rhinolophus ruwenzorii,
Rhinolophus rufus,
Rhinolophus rouxii,
Rhinolophus robinsoni,
Rhinolophus rex,
Rhinolophus pusillus,
Rhinolophus proconsulis,
Rhinolophus philippinensis,
Rhinolophus perditus,
Rhinolophus pearsonii,
Rhinolophus paradoxolophus,
Rhinolophus osgoodi,
Rhinolophus nereis,
Rhinolophus mossambicus,
Rhinolophus montanus,
Rhinolophus mitratus,
Rhinolophus microglobosus,
Rhinolophus mehelyi,
Rhinolophus megaphyllus,
Rhinolophus mcintyrei,
Rhinolophus marshalli,
Rhinolophus malayanus,
Rhinolophus maendeleo,
Rhinolophus madurensis,
Rhinolophus macrotis,
Rhinolophus maclaudi,
Rhinolophus mabuensis,
Rhinolophus luctus,
Rhinolophus lepidus,
Rhinolophus landeri,
Rhinolophus keyensis,
Rhinolophus kahuzi,
Rhinolophus inops,
Rhinolophus huananus,
Rhinolophus hillorum,
Rhinolophus hilli,
Rhinolophus hildebrandtii,
Rhinolophus guineensis,
Rhinolophus fumigatus,
Rhinolophus formosae,
Rhinolophus ferrumequinum,
Rhinolophus euryotis,
Rhinolophus euryale,
Rhinolophus eloquens,
Rhinolophus denti,
Rhinolophus deckenii,
Rhinolophus darlingi,
Rhinolophus damarensis,
Rhinolophus creaghi,
Rhinolophus convexus,
Rhinolophus cohenae,
Rhinolophus cognatus,
Rhinolophus coelophyllus,
Rhinolophus clivosus,
Rhinolophus chiewkweeae,
Rhinolophus celebensis,
Rhinolophus capensis,
Rhinolophus canuti,
Rhinolophus borneensis,
Rhinolophus bocharicus,
Rhinolophus blasii,
Rhinolophus belligerator,
Rhinolophus beddomei,
Rhinolophus arcuatus,
Rhinolophus alcyone,
Rhinolophus affinis,
Rhinolophus adami,
Rhinolophus acuminatus,
Rhinoceros sondaicus,1750
Rheithrosciurus macrotis,
Rhagomys rufescens,
Rhagomys longilingua,
Rhabdomys pumilio,
Rhabdomys intermedius,
Rhabdomys dilectus,
Rhabdomys bechuanae,
Reithrodontomys zacatecae,
Reithrodontomys tenuirostris,
Reithrodontomys sumichrasti,
Reithrodontomys spectabilis,
Reithrodontomys rodriguezi,
Reithrodontomys raviventris,
Reithrodontomys paradoxus,
Reithrodontomys musseri,
Reithrodontomys montanus,
Reithrodontomys microdon,
Reithrodontomys mexicanus,
Reithrodontomys megalotis,
Reithrodontomys humulis,
Reithrodontomys hirsutus,
Reithrodontomys gracilis,
Reithrodontomys fulvescens,
Reithrodontomys darienensis,
Reithrodontomys creper,
Reithrodontomys chrysopsis,
Reithrodontomys burti,
Reithrodontomys brevirostris,
Reithrodontomys bakeri,
Reithrodon typicus,
Reithrodon auritus,
Redunca redunca,
Redunca fulvorufula,
Redunca arundinum,
Ratufa macroura,
Ratufa indica,
Ratufa bicolor,
Ratufa affinis,
Rattus xanthurus,
Rattus villosissimus,
Rattus verecundus,
Rattus vandeuseni,
Rattus tunneyi,
Rattus tiomanicus,
Rattus timorensis,
Rattus tawitawiensis,
Rattus tanezumi,
Rattus stoicus,
Rattus steini,
Rattus sordidus,
Rattus simalurensis,
Rattus satarae,
Rattus salocco,
Rattus richardsoni,
Rattus rattus,0.18
Rattus ranjiniae,
Rattus pyctoris,
Rattus praetor,
Rattus pococki,
Rattus pelurus,
Rattus palmarum,
Rattus osgoodi,
Rattus omichlodes,
Rattus novaeguineae,
Rattus nitidus,
Rattus niobe,
Rattus nikenii,
Rattus morotaiensis,
Rattus mordax,
Rattus montanus,
Rattus mollicomulus,
Rattus mindorensis,
Rattus marmosurus,
Rattus lutreolus,
Rattus lugens,
Rattus losea,
Rattus leucopus,
Rattus korinchi,
Rattus koopmani,
Rattus jobiensis,
Rattus hoogerwerfi,
Rattus hoffmanni,
Rattus hainaldi,
Rattus giluwensis,
Rattus fuscipes,
Rattus feliceus,
Rattus exulans,
Rattus everetti,
Rattus enganus,
Rattus elaphinus,
Rattus detentus,
Rattus colletti,
Rattus burrus,
Rattus bontanus,
Rattus blangorum,
Rattus baluensis,
Rattus arrogans,
Rattus argentiventer,
Rattus arfakiensis,
Rattus annandalei,
Rattus andamanensis,
Rattus adustus,
Raphicerus sharpei,
Raphicerus melanotis,
Pygoderma bilabiatum,
Pygeretmus zhitkovi,
Pygeretmus pumilio,
Pygeretmus platyurus,
Pygathrix nigripes,
Pygathrix nemaeus,
Pygathrix cinerea,
Punomys lemminus,
Punomys kofordi,
Pudu puda,
Pudu mephistophiles,
Ptilocercus lowii,
Pteropus woodfordi,
Pteropus voeltzkowi,
Pteropus vetula,
Pteropus vampyrus,
Pteropus ualanus,
Pteropus tuberculatus,
Pteropus tonganus,
Pteropus tokudae,
Pteropus temminckii,
Pteropus subniger,
Pteropus speciosus,
Pteropus seychellensis,
Pteropus scapulatus,
Pteropus samoensis,
Pteropus rufus,
Pteropus rodricensis,
Pteropus rennelli,
Pteropus rayneri,
Pteropus pumilus,
Pteropus pselaphon,
Pteropus poliocephalus,
Pteropus pohlei,
Pteropus personatus,
Pteropus pelewensis,
Pteropus pelagicus,
Pteropus ornatus,
Pteropus ocularis,
Pteropus nitendiensis,
Pteropus niger,
Pteropus neohibernicus,
Pteropus molossinus,
Pteropus melanotus,
Pteropus melanopogon,
Pteropus medius,
Pteropus mariannus,
Pteropus mahaganus,
Pteropus macrotis,
Pteropus lylei,
Pteropus loochoensis,
Pteropus lombocensis,
Pteropus livingstonii,
Pteropus keyensis,
Pteropus intermedius,
Pteropus hypomelanus,
Pteropus howensis,
Pteropus griseus,
Pteropus gilliardorum,
Pteropus fundatus,
Pteropus faunulus,
Pteropus ennisae,
Pteropus dasymallus,
Pteropus conspicillatus,
Pteropus cognatus,
Pteropus chrysoproctus,
Pteropus capistratus,
Pteropus caniceps,
Pteropus aruensis,
Pteropus anetianus,
Pteropus alecto,
Pteropus aldabrensis,
Pteropus admiralitatum,
Pteronotus rubiginosus,
Pteronotus quadridens,
Pteronotus personatus,
Pteronotus parnellii,
Pteronotus paraguanensis,
Pteronotus mesoamericanus,
Pteronotus macleayii,
Pteronotus gymnonotus,
Pteromyscus pulverulentus,
Pteromys volans,0.15
Pteromys momonga,
Pteralopex taki,
Pteralopex pulchra,
Pteralopex flanneryi,
Pteralopex atrata,
Pteralopex anceps,
Ptenochirus minor,
Ptenochirus jagorii,
Pseudoryzomys simplex,
Pseudoryx nghetinhensis,
Pseudomys shortridgei,
Pseudomys pilligaensis,
Pseudomys patrius,
Pseudomys oralis,
Pseudomys occidentalis,
Pseudomys novaehollandiae,
Pseudomys nanus,
Pseudomys johnsoni,
Pseudomys higginsi,
Pseudomys hermannsburgensis,
Pseudomys gracilicaudatus,
Pseudomys fumeus,
Pseudomys fieldi,
Pseudomys desertor,
Pseudomys delicatulus,
Pseudomys chapmani,
Pseudomys calabyi,
Pseudomys bolami,
Pseudomys australis,
Pseudomys apodemoides,
Pseudomys albocinereus,
Pseudois nayaur,
Pseudohydromys sandrae,
Pseudohydromys pumehanae,
Pseudohydromys patriciae,
Pseudohydromys occidentalis,
Pseudohydromys musseri,
Pseudohydromys murinus,
Pseudohydromys germani,
Pseudohydromys fuscus,
Pseudohydromys ellermani,
Pseudohydromys eleanorae,
Pseudohydromys carlae,
Pseudohydromys berniceae,
Pseudochirulus larvatus,
Pseudochirulus cinereus,
Pseudoberylmys muongbangensis,
Pseudantechinus woolleyae,
Pseudantechinus roryi,
Pseudantechinus ningbing,
Pseudantechinus mimulus,
Pseudantechinus macdonnellensis,
Pseudantechinus bilarni,
Psammomys vexillaris,
Psammomys obesus,
Protoxerus stangeri,
Protoxerus aubinnii,
Protochromys fellowsi,
Prosciurillus weberi,
Prosciurillus topapuensis,
Prosciurillus rosenbergii,
Prosciurillus murinus,
Prosciurillus leucomus,
Prosciurillus alstoni,
Prosciurillus abstrusus,
Propithecus verreauxi,
Propithecus tattersalli,
Propithecus perrieri,
Propithecus edwardsi,
Propithecus diadema,
Propithecus deckenii,
Propithecus coronatus,
Propithecus candidus,
Pronolagus saundersiae,
Pronolagus rupestris,
Pronolagus randensis,
Pronolagus crassicaudatus,
Promops nasutus,
Promops davisoni,
Promops centralis,
Prometheomys schaposchnikowi,
Proedromys liangshanensis,
Proedromys bedfordi,
Proechimys trinitatis,
Proechimys steerei,
Proechimys simonsi,
Proechimys semispinosus,
Proechimys roberti,
Proechimys quadruplicatus,
Proechimys pattoni,
Proechimys oconnelli,
Proechimys mincae,
Proechimys longicaudatus,
Proechimys kulinae,
Proechimys hoplomyoides,
Proechimys guyannensis,
Proechimys guairae,
Proechimys goeldii,
Proechimys gardneri,
Proechimys echinothrix,
Proechimys decumanus,
Proechimys cuvieri,
Proechimys chrysaeolus,
Proechimys canicollis,
Procyon pygmaeus,
Procolobus verus,
Procapra przewalskii,
Procapra picticaudata,
Procapra gutturosa,
Prionomys batesi,
Prionodon pardicolor,
Prionodon linsang,
Prionailurus rubiginosus,
Prionailurus bengalensis,
Priodontes maximus,
Presbytis thomasi,
Presbytis sumatranus,
Presbytis siberu,
Presbytis siamensis,
Presbytis sabana,
Presbytis rubicunda,
Presbytis robinsoni,
Presbytis potenziani,
Presbytis percura,
Presbytis natunae,
Presbytis mitrata,
Presbytis melalophos,
Presbytis hosei,
Presbytis frontata,
Presbytis fredericae,
Presbytis femoralis,
Presbytis comata,
Presbytis chrysomelas,
Presbytis canicrus,
Presbytis bicolor,
Praomys verschureni,
Praomys tullbergi,
Praomys rostratus,
Praomys petteri,
Praomys obscurus,
Praomys mutoni,
Praomys morio,
Praomys misonnei,
Praomys minor,
Praomys lukolelae,
Praomys jacksoni,
Praomys hartwigi,
Praomys derooi,
Praomys delectorum,
Praomys degraaffi,
Praomys daltoni,
Praomys coetzeei,
Potorous longipes,
Potorous gilbertii,
Potamochoerus porcus,
Potamochoerus larvatus,
Porcula salvania,
Pongo tapanuliensis,
Pongo abelii,
Poliocitellus franklinii,
Poiana richardsonii,
Poiana leightoni,
Pogonomys sylvestris,
Pogonomys macrourus,
Pogonomys loriae,
Pogonomys fergussoniensis,
Pogonomys championi,
Pogonomelomys mayeri,
Pogonomelomys bruijnii,
Pogonomelomys brassi,
Poelagus marjorita,
Podoxymys roraimae,
Podomys floridanus,
Podogymnura truei,
Podogymnura aureospinula,
Plerotes anchietae,
Plecturocebus vieirai,
Plecturocebus urubambensis,
Plecturocebus toppini,
Plecturocebus stephennashi,
Plecturocebus parecis,
Plecturocebus pallescens,
Plecturocebus ornatus,
Plecturocebus olallae,
Plecturocebus oenanthe,
Plecturocebus moloch,
Plecturocebus modestus,
Plecturocebus miltoni,
Plecturocebus hoffmannsi,
Plecturocebus grovesi,
Plecturocebus dubius,
Plecturocebus donacophilus,
Plecturocebus discolor,
Plecturocebus cupreus,
Plecturocebus cinerascens,
Plecturocebus caquetensis,
Plecturocebus caligatus,
Plecturocebus brunneus,
Plecturocebus bernhardi,
Plecturocebus baptista,
Plecturocebus aureipalatii,
Plecotus wardi,
Plecotus turkmenicus,
Plecotus teneriffae,
Plecotus taivanus,
Plecotus strelkovi,
Plecotus sardus,
Plecotus sacrimontis,
Plecotus ognevi,
Plecotus macrobullaris,
Plecotus kozlovi,
Plecotus kolombatovici,
Plecotus homochrous,
Plecotus christii,
Plecotus balensis,
Plecotus austriacus,
Plecotus auritus,
Plecotus ariel,
Platyrrhinus vittatus,
Platyrrhinus umbratus,
Platyrrhinus recifinus,
Platyrrhinus nitelinea,
Platyrrhinus nigellus,
Platyrrhinus matapalensis,
Platyrrhinus masu,
Platyrrhinus lineatus,
Platyrrhinus ismaeli,
Platyrrhinus infuscus,
Platyrrhinus incarum,
Platyrrhinus helleri,
Platyrrhinus fusciventris,
Platyrrhinus dorsalis,
Platyrrhinus chocoensis,
Platyrrhinus brachycephalus,
Platyrrhinus aurarius,
Platyrrhinus aquilus,
Platyrrhinus angustirostris,
Platyrrhinus albericoi,
Platymops setiger,
Platalina genovensium,
Platacanthomys lasiurus,
Plagiodontia aedium,
Pithecia vanzolinii,
Pithecia rylandsi,
Pithecia pithecia,
Pithecia pissinattii,
Pithecia napensis,
Pithecia monachus,
Pithecia mittermeieri,
Pithecia milleri,
Pithecia isabela,
Pithecia irrorata,
Pithecia inusta,
Pithecia hirsuta,
Pithecia chrysocephala,
Pithecia cazuzai,
Pithecia albicans,
Pithecia aequatorialis,
Pithecheirops otion,
Pithecheir parvus,
Pithecheir melanurus,
Pipistrellus westralis,
Pipistrellus wattsi,
Pipistrellus stenopterus,
Pipistrellus rusticus,
Pipistrellus rueppellii,
Pipistrellus raceyi,
Pipistrellus pygmaeus,
Pipistrellus pipistrellus,
Pipistrellus permixtus,
Pipistrellus paterculus,
Pipistrellus papuanus,
Pipistrellus nathusii,
Pipistrellus nanulus,
Pipistrellus murrayi,
Pipistrellus minahassae,
Pipistrellus maderensis,
Pipistrellus kuhlii,
Pipistrellus javanicus,
Pipistrellus inexspectatus,
Pipistrellus imbricatus,
Pipistrellus hesperidus,
Pipistrellus hanaki,
Pipistrellus grandidieri,
Pipistrellus endoi,
Pipistrellus crassulus,
Pipistrellus coromandra,
Pipistrellus collinus,
Pipistrellus ceylonicus,
Pipistrellus angulatus,
Pipistrellus anchietae,
Pipistrellus aladdin,
Pipistrellus aero,
Pipistrellus adamsi,
Pipistrellus abramus,
Pilonycteris celebensis,
Piliocolobus waldroni,
Piliocolobus tholloni,
Piliocolobus tephrosceles,
Piliocolobus semlikiensis,
Piliocolobus rufomitratus,
Piliocolobus preussi,
Piliocolobus pennantii,
Piliocolobus parmentieri,
Piliocolobus oustaleti,
Piliocolobus lulindicus,
Piliocolobus langi,
Piliocolobus kirkii,
Piliocolobus gordonorum,
Piliocolobus foai,
Piliocolobus epieni,
Piliocolobus bouvieri,
Piliocolobus badius,
Phyllotis xanthopygus,
Phyllotis wolffsohni,
Phyllotis osilae,
Phyllotis osgoodi,
Phyllotis limatus,
Phyllotis haggardi,
Phyllotis gerbillus,
Phyllotis definitus,
Phyllotis caprinus,
Phyllotis bonariensis,
Phyllotis anitae,
Phyllotis andium,
Phyllotis amicus,
Phyllotis alisosiensis,
Phyllostomus latifolius,
Phyllostomus hastatus,
Phyllostomus elongatus,
Phyllops falcatus,
Phyllonycteris poeyi,
Phyllonycteris aphylla,
Phyllomys unicolor,
Phyllomys thomasi,
Phyllomys sulinus,
Phyllomys pattoni,
Phyllomys nigrispinus,
Phyllomys medius,
Phyllomys mantiqueirensis,
Phyllomys lundi,
Phyllomys lamarum,
Phyllomys kerri,
Phyllomys dasythrix,
Phyllomys brasiliensis,
Phyllomys blainvillii,
Phylloderma stenops,
Phoniscus papuensis,
Phoniscus jagorii,
Phoniscus atrox,
Phodopus sungorus,
Phodopus roborovskii,
Phodopus campbelli,
Phloeomys pallidus,
Phloeomys cumingi,
Philetor brachypterus,
Philantomba walteri,
Philantomba monticola,
Philantomba maxwellii,
Philander olrogi,
Philander mondolfii,
Philander mcilhennyi,
Philander frenatus,
Philander deltae,
Philander andersoni,
Phenacomys ungava,
Phataginus tricuspis,
Phataginus tetradactyla,
Phascolosorex doriae,
Phascogale pirata,
Pharotis imogene,
Phaner parienti,
Phaner pallescens,
Phaner furcifer,
Phaner electromontis,
Phalanger matanim,
Phalanger matabiru,
Phalanger alexandrae,
Phaiomys leucurus,
Phaenomys ferrugineus,
Phacochoerus africanus,
Phacochoerus aethiopicus,
Petromyscus shortridgei,
Petromyscus monticularis,
Petromyscus collinus,
Petromyscus barbouri,
Petromus typicus,
Petrogale sharmani,
Petrogale rothschildi,
Petrogale purpureicollis,
Petrogale coenensis,
Petrogale burbidgei,
Petinomys vordermanni,
Petinomys setosus,
Petinomys mindanensis,
Petinomys lugens,
Petinomys hageni,
Petinomys genibarbis,
Petinomys fuscocapillus,
Petinomys crinitus,
Petaurus gracilis,
Petaurista xanthotis,
Petaurista philippensis,
Petaurista petaurista,
Petaurista nobilis,
Petaurista mishmiensis,
Petaurista mechukaensis,
Petaurista magnificus,
Petaurista leucogenys,
Petaurista elegans,
Petaurista alborufus,
Petaurillus kinlochii,
Petaurillus hosei,
Petaurillus emiliae,
Peroryctes broadbenti,
Peropteryx trinitatis,
Peropteryx pallidoptera,
Peropteryx leucoptera,
Peropteryx kappleri,
Peromyscus zarhynchus,
Peromyscus yucatanicus,
Peromyscus winkelmanni,
Peromyscus truei,
Peromyscus stirtoni,
Peromyscus stephani,
Peromyscus spicilegus,
Peromyscus slevini,
Peromyscus simulus,
Peromyscus sejugis,
Peromyscus schmidlyi,
Peromyscus sagax,
Peromyscus pseudocrinitus,
Peromyscus polius,
Peromyscus polionotus,
Peromyscus perfulvus,
Peromyscus pectoralis,
Peromyscus ochraventer,
Peromyscus nasutus,
Peromyscus mexicanus,
Peromyscus merriami,
Peromyscus melanurus,
Peromyscus melanotis,
Peromyscus melanophrys,
Peromyscus melanocarpus,
Peromyscus mekisturus,
Peromyscus megalops,
Peromyscus mayensis,
Peromyscus maniculatus,
Peromyscus madrensis,
Peromyscus levipes,
Peromyscus leucopus,
Peromyscus keeni,
Peromyscus interparietalis,
Peromyscus hylocetes,
Peromyscus hooperi,
Peromyscus gymnotis,
Peromyscus guatemalensis,
Peromyscus guardia,
Peromyscus gratus,
Peromyscus grandis,
Peromyscus gossypinus,
Peromyscus furvus,
Peromyscus fraterculus,
Peromyscus eva,
Peromyscus eremicus,
Peromyscus difficilis,
Peromyscus dickeyi,
Peromyscus crinitus,
Peromyscus caniceps,
Peromyscus californicus,
Peromyscus bullatus,
Peromyscus boylii,
Peromyscus beatae,
Peromyscus aztecus,
Peromyscus attwateri,
Perognathus parvus,
Perognathus merriami,
Perognathus inornatus,
Perognathus flavus,
Perognathus flavescens,
Perognathus fasciatus,
Perognathus amplus,
Perognathus alticola,
Perodicticus ibeanus,
Perodicticus edwardsi,
Perimyotis subflavus,
Penthetor lucasi,
Pentalagus furnessi,
Pennatomys nivalis,
Pelomys minor,
Pelomys isseli,
Pelomys hopkinsi,
Pelomys campanae,
Pelea capreolus,
Pedetes surdaster,
Pedetes capensis,
Pectinator spekei,
Pecari tajacu,
Paulamys naso,
Paucidentomys vermidax,
Pattonomys semivillosus,
Pattonomys occasius,
Pattonomys flavidus,
Pattonomys carrikeri,
Paruromys dominator,
Parotomys littledalei,
Paremballonura tiavato,
Paremballonura atrata,
Pardofelis marmorata,
Paraxerus vincenti,
Paraxerus vexillarius,
Paraxerus poensis,
Paraxerus palliatus,
Paraxerus ochraceus,
Paraxerus lucifer,
Paraxerus flavovittis,
Paraxerus cooperi,
Paraxerus cepapi,
Paraxerus boehmi,
Paraxerus alexandri,
Paratriaenops pauliani,
Paratriaenops furcula,
Paratriaenops auritus,
Parastrellus hesperus,
Parascaptor leucura,
Parascalops breweri,
Paranyctimene tenax,
Paranyctimene raptor,
Paramelomys steini,
Paramelomys rubex,
Paramelomys platyops,
Paramelomys naso,
Paramelomys moncktoni,
Paramelomys mollis,
Paramelomys lorentzii,
Paramelomys levipes,
Paramelomys gressitti,
Paraleptomys wilhelmina,
Paraleptomys rufilatus,
Parahyaena brunnea,
Paragalago zanzibaricus,
Paragalago rondoensis,
Paragalago orinus,
Paragalago granti,
Paragalago cocos,
Paraechinus nudiventris,
Paraechinus micropus,
Paraechinus hypomelas,
Paraechinus aethiopicus,
Paradoxurus zeylonensis,
Paradoxurus jerdoni,
Paradipus ctenodactylus,
Paracrocidura schoutedeni,
Paracrocidura maxima,
Paracrocidura graueri,
Pappogeomys bulleri,
Papio ursinus,
Papio papio,
Papio kindae,
Papio hamadryas,
Papagomys armandvillei,
Pantholops hodgsonii,
Panthera uncia,
Panthera leo West Africa subpopulation,
Panthera leo Asiatic subpopulation,
Pan paniscus,
Palawanomys furvus,
Palaeopropithecus ingens,
Pachyuromys duprasi,
Ozotoceros bezoarticus,
Ozimops ridei,
Ozimops planiceps,
Ozimops petersi,
Ozimops lumsdenae,
Ozimops loriae,
Ozimops kitcheneri,
Ozimops halli,
Ozimops cobourgianus,
Ozimops beccarii,
Oxymycterus wayku,
Oxymycterus rufus,
Oxymycterus quaestor,
Oxymycterus paramensis,
Oxymycterus nasutus,
Oxymycterus josei,
Oxymycterus inca,
Oxymycterus hucucha,
Oxymycterus hispidus,
Oxymycterus hiska,
Oxymycterus delator,
Oxymycterus dasytrichus,
Oxymycterus caparoae,
Oxymycterus angularis,
Oxymycterus amazonicus,
Ovis vignei,
Ovis nivicola,
Ovis gmelini,
Ovis dalli,
Ovis canadensis,140
Ovis ammon,
Ovibos moschatus,
Ourebia ourebi,
Ototylomys phyllotis,
Otospermophilus variegatus,
Otopteropus cartilagonodus,
Otonyctomys hatti,
Otonycteris hemprichii,
Otomys zinki,
Otomys yaldeni,
Otomys uzungwensis,
Otomys unisulcatus,
Otomys typus,
Otomys tropicalis,
Otomys thomasi,
Otomys simiensis,
Otomys occidentalis,
Otomys karoensis,
Otomys jacksoni,
Otomys irroratus,
Otomys helleri,
Otomys fortior,
Otomys denti,
Otomys dartmouthi,
Otomys cuanzensis,
Otomys cheesmani,
Otomys burtoni,
Otomys barbouri,
Otomys auratus,
Otomys angoniensis,
Otomys anchietae,
Otomops wroughtoni,
Otomops secundus,
Otomops papuensis,
Otomops martiensseni,
Otomops madagascariensis,
Otomops johnstonei,
Otomops harrisoni,
Otomops formosus,
Otolemur garnettii,
Otolemur crassicaudatus,
Otocolobus manul,
Osphranter rufus,
Osphranter robustus,
Osphranter bernardus,
Osphranter antilopinus,
Osgoodomys banderanus,
Oryzorictes tetradactylus,
Oryzomys gorgasi,
Oryzomys dimidiatus,
Oryx leucoryx,
Oryx gazella,
Oryx dammah,
Oryx beisa,
Orthogeomys underwoodi,
Orthogeomys hispidus,
Orthogeomys heterodus,
Orthogeomys grandis,
Orthogeomys cuniculus,
Orthogeomys cavator,
Oreotragus oreotragus,
Oreoryzomys balneator,
Onychomys torridus,
Onychomys leucogaster,
Onychomys arenicola,
Oligoryzomys vegetus,
Oligoryzomys stramineus,
Oligoryzomys rupestris,
Oligoryzomys nigripes,
Oligoryzomys moojeni,
Oligoryzomys microtis,
Oligoryzomys magellanicus,
Oligoryzomys longicaudatus,
Oligoryzomys griseolus,
Oligoryzomys fulvescens,
Oligoryzomys fornesi,
Oligoryzomys flavescens,
Oligoryzomys eliurus,
Oligoryzomys destructor,
Oligoryzomys delticola,
Oligoryzomys chacoensis,
Oligoryzomys brendae,
Oligoryzomys arenalis,
Oligoryzomys andinus,
Olallamys edax,
Olallamys albicauda,
Okapia johnstoni,
Oenomys ornatus,
Oenomys hypoxanthus,
Oecomys trinitatis,
Oecomys superans,
Oecomys speciosus,
Oecomys rutilus,
Oecomys roberti,
Oecomys rex,
Oecomys phaeotis,
Oecomys paricola,
Oecomys mamorae,
Oecomys flavicans,
Oecomys concolor,
Oecomys cleberi,
Oecomys catherinae,
Oecomys bicolor,
Oecomys auyantepui,
Odocoileus virginianus,100
Odocoileus hemionus,
Octodon pacificus,
Octodon lunatus,
Octodon bridgesi,
Ochotona turuchanensis,
Ochotona thomasi,
Ochotona thibetana,
Ochotona syrinx,
Ochotona rutila,
Ochotona rufescens,
Ochotona roylei,
Ochotona pusilla,
Ochotona princeps,
Ochotona pallasii,
Ochotona opaca,
Ochotona nubrica,
Ochotona mantchurica,
Ochotona macrotis,
Ochotona ladacensis,
Ochotona koslowi,
Ochotona iliensis,
Ochotona hyperborea,
Ochotona hoffmanni,
Ochotona gloveri,
Ochotona forresti,
Ochotona erythrotis,
Ochotona dauurica,
Ochotona curzoniae,
Ochotona coreana,
Ochotona collaris,
Ochotona cansus,
Ochotona argentata,
Ochotona alpina,
Nyctophilus walkeri,
Nyctophilus shirleyae,
Nyctophilus sherrini,
Nyctophilus nebulosus,
Nyctophilus microtis,
Nyctophilus microdon,
Nyctophilus howensis,
Nyctophilus holtorum,
Nyctophilus heran,
