sci_name,body mass
Sciurus niger,
Loris tardigradus,
Epomophorus gambianus,
Cricetus cricetus,
Murexia longicaudata,
Caluromys derbianus,
Proechimys brevicauda,
Petaurus abidi,
Georychus capensis,
Atelerix albiventris,
Caluromys philander,
Tamiasciurus hudsonicus,
Setifer setosus,
Pseudochirulus schlegeli,
Callithrix jacchus,
Cyclopes didactylus,
Ictidomys tridecemlineatus,
Petrodromus tetradactylus,
Octodon degus,
Clyomys laticeps,
Galago senegalensis,
Geomys bursarius,
Petaurus norfolcensis,
Spalacopus cyanus,
Cheirogaleus medius,
Mustela erminea,0.258
Mesomys hispidus,
Capromys pilorides,5.6
Octodontomys gliroides,
Tupaia glis,
Phascogale tapoatafa,
Macroderma gigas,
Glis glis,
Pseudochirulus canescens,
Cebuella pygmaea,
Myoictis melas,
Rousettus aegyptiacus,
Pseudochirulus mayeri,
Fukomys damarensis,
Octomys mimax,
Otomys sloggetti,
Hemicentetes semispinosus,
Makalata didelphoides,
Tupaia javanica,
Dasyuroides byrnei,
Jaculus orientalis,
Oxymycterus roberti,
Gerbillus gerbillus,
Mystromys albicaudatus,
Tympanoctomys barrerae,
Gymnobelideus leadbeateri,
Petaurus breviceps,
Echinops telfairi,
Carlito syrichta,
Tamias striatus,
Parotomys brantsii,
Petaurus biacensis,
Talpa europaea,
Auliscomys boliviensis,
Phyllotis darwini,
Dasycercus cristicauda,
Microtus xanthognathus,
Monodelphis brevicaudata,
Lemmus trimucronatus,
Antechinus swainsonii,
Elephantulus myurus,
Phyllotis magister,
Dicrostonyx groenlandicus,
Murexia rothschildi,
Parantechinus apicalis,
Antechinus leo,
Marmosa rubra,
Marmosa murina,
Artibeus lituratus,
Noctilio leporinus,
Elephantulus fuscipes,
Notoryctes caurinus,
Microcebus murinus,
Meriones unguiculatus,
Microtus breweri,
Elephantulus rufescens,
Microtus montanus,
Condylura cristata,
Chrysochloris asiatica,
Scalopus aquaticus,
Phascolosorex dorsalis,
Marmosa mexicana,
Elephantulus intufi,
Antechinus bellus,
Distoechurus pennatus,
Elephantulus rozeti,
Elephantulus brachyrhynchus,
Microtus pennsylvanicus,
Oryzorictes hova,
Lemmus sibiricus,
Phascogale calura,
Abrothrix longipilis,
Casinycteris argynnis,
Chrysochloris stuhlmanni,
Macroscelides proboscideus,
Artibeus jamaicensis,
Burramys parvus,
Antechinus minimus,
Suncus murinus,
Abrothrix andinus,
Vespertilio murinus,
Phyllostomus discolor,
Microgale dobsoni,
Mus musculus,0.045
Antechinus flavipes,
Microtus longicaudus,
Zapus hudsonius,
Antechinus stuartii,
Antechinus subtropicus,
Cynopterus brachyotis,
Gerbillus nanus,
Myopus schisticolor,
Desmodus rotundus,
Abrothrix olivaceus,
Thylamys elegans,
Nyctalus noctula,
Myotis myotis,
Leptonycteris curasoae,
Microtus pinetorum,
Clethrionomys gapperi,
Antechinus agilis,
Mastomys coucha,
Arborimus longicaudus,
Phenacomys intermedius,
Dromiciops gliroides,
Thylamys pallidior,
Eremitalpa granti,
Rhyncholestes raphanurus,
Sminthopsis griseoventer,
Ochrotomys nuttalli,
Cercartetus caudatus,
Blarina brevicauda,
Sylvisorex lunaris,
Clethrionomys californicus,
Caenolestes fuliginosus,
Antechinomys laniger,
Eligmodontia typus,
Sturnira lilium,
Sminthopsis douglasi,
Sminthopsis macroura,
Uroderma bilobatum,
Carollia perspicillata,
Sminthopsis murina,
Mormoops megalophylla,
Microgale cowani,
Myotis dasycneme,
Sminthopsis bindi,
Nyctophilus major,
Sminthopsis crassicaudata,
Muscardinus avellanarius,
Crocidura jacksoni,
Sminthopsis leucopus,
Cercartetus nanus,
Neurotrichus gibbsii,
Crocidura niobe,
Glossophaga soricina,
Crocidura russula,
Miniopterus schreibersii,
Hipposideros caffer,
Pteronotus davyi,
Nycteris arge,
Crocidura hildegardeae,
Sminthopsis virginiae,
Sorex araneus,
Cercartetus concinnus,
Tarsipes rostratus,
Sminthopsis hirtipes,
Acrobates pygmaeus,
Planigale novaeguineae,
Hipposideros bicolor,
Rhinonicteris aurantia,
Perognathus longimembris,
Saccopteryx bilineata,
Ningaui yvonneae,
Cercartetus lepidus,
Rhinolophus hipposideros,
Myotis nattereri,
Planigale maculata,
